Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
Totsuidekita Yome ga Aisouwarai Bakari shiteru,7.35,4270,1620,11891,62,Finished,[]
"Doumo, Suki na Hito ni Horegusuri wo Irai sareta Majo desu. (Hi, im a Witch, and My Crush Wants Me to Make a Love Potion)",7.35,527,7752,2332,16,Publishing,[]
Juujin-san to Ohana-chan (Hana and the Beast Man),7.35,410,17126,764,24,Finished,[]
July Found by Chance,7.35,326,16704,798,15,Finished,[]
Gimai Seikatsu (Days with My Stepsister),7.35,1541,2900,6837,73,Publishing,[Shounen]
Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,7.35,1559,3036,6571,59,Publishing,[Shounen]
ItS My Life,7.35,2033,2099,9199,72,Finished,[]
Majo to Neko no Hanashi (The Story of Witches and Cats),7.35,321,14461,1003,11,Finished,[]
Kanojo to Kanojo no Neko (She and Her Cat),7.35,6210,1447,13222,161,Finished,[Seinen]
Mahouka Koukou no Rettousei SS (The Irregular at Magic High School SS),7.35,144,15270,922,4,Finished,[]
Watashitachi wa Douka shiteiru (SomethingS Wrong With Us),7.35,781,4230,4631,50,Publishing,[Josei]
Little Witch Academia,7.35,2453,3032,6580,158,Finished,[Shounen]
Imouto sae Ireba Ii. Gaiden: Imouto ni sae Nareba Ii!,7.35,133,15778,873,2,Finished,[Shounen]
"Maou-sama, Retry! (Demon Lord, Retry!)",7.35,535,7206,2542,26,Publishing,[]
Rokudenashi Majutsu Koushi to Akashic Records (Akashic Records of the Bastard Magical Instructor),7.34,3865,1224,15109,133,Finished,[Shounen]
Momokuri,7.34,1133,4411,4418,52,Finished,[]
Mikako-san,7.34,616,8237,2161,39,Finished,[Seinen]
Gekijouban Naruto: Shippuuden - Hi no Ishi wo Tsugu Mono,7.34,184,19186,634,4,Finished,[Shounen]
Senyuu.: Main Quest Dai-2 Shou,7.34,110,27008,324,6,Finished,[]
Dementia 21,7.34,960,3883,5114,55,Finished,[]
Tatsumi Yoshihiro Kessakusen,7.34,175,19289,628,10,Finished,[Seinen]
Kanojo ni Naru Hi,7.34,14259,543,31509,452,Finished,[Shoujo]
Sensei Kunshu,7.34,2393,2230,8732,97,Finished,[Shoujo]
Hamatora The Comic,7.34,1503,3864,5134,51,Finished,[Seinen]
Majo to Houki to Kurobuchi Megane,7.34,1110,6663,2800,38,Finished,[]
Rail Wars! Nihon Kokuyuu Tetsudou Kouantai - The Revolver,7.34,129,16593,805,4,Finished,[]
Ashizuri Suizokukan,7.34,1497,3638,5445,119,Finished,[Seinen]
Hibi Chouchou x Hirunaka no Ryuusei,7.34,3636,2602,7607,20,Finished,[Shoujo]
Shinobi Quartet,7.34,1570,3418,5850,36,Finished,[Shoujo]
Udon no Kuni no Kiniro Kemari,7.34,347,7687,2350,20,Finished,[Seinen]
Mata Ashita,7.34,819,8473,2082,13,Finished,[Shoujo]
Kure-nai,7.34,122,15106,937,5,Publishing,[]
Densetsu no Yuusha no Densetsu,7.34,933,4913,3927,19,Finished,[Shounen]
Little Busters! Ecstasy Series,7.34,140,14738,973,11,Finished,[]
Himitsu no Recipe,7.34,2504,4040,4901,34,Finished,[]
Love Share,7.34,1100,7691,2349,4,Finished,[Shoujo]
Sengoku Basara Series Official Anthology Comic: Gakuen Basara,7.34,211,17934,709,8,Finished,[]
Pikaâ˜†Ichi,7.34,3032,1975,9642,35,Finished,[Shoujo]
Hi no Yama (The Thief Inoue Akikazu and Other Stories),7.34,176,23442,434,4,Finished,[Seinen]
Heart no Kuni no Alice: Boushiya to Shinya no Ochakai (Alice in the Country of Hearts: The Mad HatterS Late Night Tea Party),7.34,689,7353,2487,35,Finished,[Shoujo]
Hatsukoi Hakusho,7.34,1233,7381,2473,2,Finished,[Shoujo]
Koisuru Barairo Tenchou,7.34,973,8618,2034,14,Finished,[]
Shoujo Kakumei Utena,7.34,182,16740,796,9,Finished,[Shoujo]
City of Darkness,7.34,1426,3769,5260,38,Finished,[]
Nekomori-kun no Himitsu no Tobira,7.34,1339,8248,2158,5,Finished,[Shoujo]
Kuroori-hime to Kawaki no Ou,7.34,2648,4254,4588,12,Finished,[Shoujo]
Hoshi ni Naru Hi,7.34,506,13360,1125,3,Finished,[Shoujo]
Angel Heart 2nd Season,7.34,160,16900,784,3,Finished,[Seinen]
Again!!,7.34,7085,765,22780,295,Finished,[Shounen]
Mahou Sensei Negima! Volume 0,7.34,382,10804,1515,5,Finished,[Shounen]
Shirokuma CafÃ© (Polar Bear CafÃ©),7.34,390,7548,2407,34,Finished,[Josei]
Satou-kun no Juunan Seikatsu,7.34,412,10895,1495,5,Finished,[Shoujo]
Madan no Ou to Vanadis (Lord Marksman and Vanadis),7.34,4049,1662,11615,70,Finished,[Seinen]
Wanko ni Kuchizuke (Why not be my dog),7.34,1479,5201,3696,60,Finished,[Seinen]
Super Danganronpa 2: Chou Koukou-kyuu no Kouun to Kibou to Zetsubou (Danganronpa 2: Ultimate Luck and Hope and Despair),7.34,1747,4046,4894,111,Finished,[]
HajiOtsu.,7.34,6512,1238,15009,151,Finished,[]
"Sayonara, Hero.",7.34,1534,6261,3000,9,Finished,[Shoujo]
Alice 19th,7.34,8586,1140,15896,329,Finished,[Shoujo]
Zombie-Loan,7.34,6908,970,18167,314,Finished,[Shounen]
Aventura (Adventura),7.34,260,15067,941,26,Discontinued,[Shounen]
Dragon Voice,7.34,432,13119,1153,21,Finished,[Shounen]
Gravitation EX,7.34,1490,5406,3531,56,Finished,[]
Rebirth,7.34,894,6942,2661,86,Finished,[]
Bamboo Blade,7.34,3187,2465,7978,138,Finished,[Seinen]
Open Sesame,7.34,2102,4629,4198,41,Finished,[Shounen]
IO,7.34,2213,3224,6190,58,Finished,[Seinen]
Tenshi na Konamaiki (Cheeky Angel),7.34,1382,4798,4027,54,Finished,[Shounen]
Sugar Addiction (Sugarholic),7.34,663,11537,1382,7,Finished,[Shoujo]
Global Garden,7.34,909,8855,1961,20,Finished,[Shoujo]
Shurayuki-hime (Lady Snowblood),7.34,2155,2810,7053,74,Finished,[]
Jackals,7.34,5239,1513,12717,173,Finished,[Seinen]
Kamisama no Iutoori,7.34,3406,2994,6643,50,Finished,[Shoujo]
Kekkon Shiyou yo (LetS Get Married!),7.34,1080,7589,2390,9,Finished,[Shoujo]
Kokumin Quiz,7.34,1085,5840,3237,50,Finished,[Seinen]
Dragon Half,7.34,1495,4858,3970,104,Finished,[]
Zero (Zero - The Beginning of The Coffin),7.34,2415,3670,5411,36,Finished,[Seinen]
Gakuen Utopia Manabi Straight!,7.34,118,21851,500,7,Finished,[]
Koori no Mamono no Monogatari Gaiden (The Ice-Cold DemonS Tale Special),7.34,230,18539,671,4,Finished,[]
Allison,7.34,196,15702,881,7,Finished,[]
Zenbu Shiritaiâ™¡,7.34,1355,6849,2701,4,Finished,[Shoujo]
